Trade #,Typ,Datum und Uhrzeit,Signal,Preis USD,Größe (Menge),Größe (Wert),G&V netto USD,G&V netto %,Positive Exkursion USD,Positive Exkursion %,Negative Exkursion USD,Negative Exkursion %,Kumulativer G&V USD,Kumulativer G&V %
132,Short-Einstieg,2025-10-29 14:31,Short_178,26159.9,24,627837.6,504,0.08,504,0.08,-158.4,-0.03,19804.7,19.80
133,Short-Ausstieg,2025-10-29 14:47,S178 SL,26161.9,24,627837.6,-48,-0.01,708,0.11,-158.4,-0.03,19756.7,19.76
133,Short-Einstieg,2025-10-29 14:31,Short_178,26159.9,24,627837.6,-48,-0.01,708,0.11,-158.4,-0.03,19756.7,19.76
134,Short-Ausstieg,2025-11-05 15:50,S178 SL,25518.4,24,612141.6,-300,-0.05,237.6,0.04,-300,-0.05,19456.7,19.46
134,Short-Einstieg,2025-11-05 15:48,Short_178,25505.9,24,612141.6,-300,-0.05,237.6,0.04,-300,-0.05,19456.7,19.46
135,Short-Ausstieg,2025-11-05 15:50,S178 SL,25518.4,24,612141.6,-300,-0.05,237.6,0.04,-300,-0.05,19156.7,19.16
135,Short-Einstieg,2025-11-05 15:48,Short_178,25505.9,24,612141.6,-300,-0.05,237.6,0.04,-300,-0.05,19156.7,19.16
136,Long-Ausstieg,2025-11-06 15:51,L140 SL,25480.1,30,764778,-375,-0.05,2316,0.30,-375,-0.05,18781.7,18.78
136,Long-Einstieg,2025-11-06 15:41,Long_140,25492.6,30,764778,-375,-0.05,2316,0.30,-375,-0.05,18781.7,18.78
137,Long-Ausstieg,2025-11-06 15:51,L140 SL,25480.1,30,764778,-375,-0.05,2316,0.30,-375,-0.05,18406.7,18.41
137,Long-Einstieg,2025-11-06 15:41,Long_140,25492.6,30,764778,-375,-0.05,2316,0.30,-375,-0.05,18406.7,18.41
138,Long-Ausstieg,2025-11-11 15:50,L078 SL,25470.9,29,739018.6,-362.5,-0.05,0,0.00,-362.5,-0.05,18044.2,18.04
138,Long-Einstieg,2025-11-11 15:50,Long_078,25483.4,29,739018.6,-362.5,-0.05,0,0.00,-362.5,-0.05,18044.2,18.04
139,Long-Ausstieg,2025-11-11 15:50,L078 SL,25470.9,29,739018.6,-362.5,-0.05,0,0.00,-362.5,-0.05,17681.7,17.68
139,Long-Einstieg,2025-11-11 15:50,Long_078,25483.4,29,739018.6,-362.5,-0.05,0,0.00,-362.5,-0.05,17681.7,17.68
140,Long-Ausstieg,2025-11-12 06:01,EOD_CLOSE,25630.5,1,25483.4,147.1,0.58,189.6,0.74,-92.7,-0.36,17828.8,17.83
140,Long-Einstieg,2025-11-11 15:50,Long_078,25483.4,1,25483.4,147.1,0.58,189.6,0.74,-92.7,-0.36,17828.8,17.83
141,Long-Ausstieg,2025-11-13 15:36,L140 SL,25293,29,733859.5,-362.5,-0.05,43.5,0.01,-362.5,-0.05,17466.3,17.47
141,Long-Einstieg,2025-11-13 15:36,Long_140,25305.5,29,733859.5,-362.5,-0.05,43.5,0.01,-362.5,-0.05,17466.3,17.47
142,Long-Ausstieg,2025-11-13 15:36,L140 SL,25293,29,733859.5,-362.5,-0.05,43.5,0.01,-362.5,-0.05,17103.8,17.10
142,Long-Einstieg,2025-11-13 15:36,Long_140,25305.5,29,733859.5,-362.5,-0.05,43.5,0.01,-362.5,-0.05,17103.8,17.10
143,Long-Ausstieg,2025-11-14 06:01,EOD_CLOSE,24940.7,1,25305.5,-364.8,-1.44,105.6,0.42,-387.3,-1.53,16739,16.74
143,Long-Einstieg,2025-11-13 15:36,Long_140,25305.5,1,25305.5,-364.8,-1.44,105.6,0.42,-387.3,-1.53,16739,16.74
144,Long-Ausstieg,2025-11-14 15:32,L078 SL,24586.4,29,713333.3,-327.7,-0.05,0,0.00,-327.7,-0.05,16411.3,16.41
144,Long-Einstieg,2025-11-14 15:32,Long_078,24597.7,29,713333.3,-327.7,-0.05,0,0.00,-327.7,-0.05,16411.3,16.41
145,Long-Ausstieg,2025-11-14 15:32,L078 SL,24586.4,29,713333.3,-327.7,-0.05,0,0.00,-327.7,-0.05,16083.6,16.08
145,Long-Einstieg,2025-11-14 15:32,Long_078,24597.7,29,713333.3,-327.7,-0.05,0,0.00,-327.7,-0.05,16083.6,16.08
146,Long-Ausstieg,2025-11-14 15:33,L140 SL,24557.7,29,712501,-327.7,-0.05,426.3,0.06,-327.7,-0.05,15755.9,15.76
146,Long-Einstieg,2025-11-14 15:32,Long_140,24569,29,712501,-327.7,-0.05,426.3,0.06,-327.7,-0.05,15755.9,15.76
147,Long-Ausstieg,2025-11-14 15:33,L140 SL,24557.7,29,712501,-327.7,-0.05,426.3,0.06,-327.7,-0.05,15428.2,15.43
147,Long-Einstieg,2025-11-14 15:32,Long_140,24569,29,712501,-327.7,-0.05,426.3,0.06,-327.7,-0.05,15428.2,15.43
148,Short-Ausstieg,2025-11-18 15:32,S178 SL,24720,29,716552.3,-327.7,-0.05,104.4,0.01,-327.7,-0.05,15100.5,15.10
148,Short-Einstieg,2025-11-18 15:32,Short_178,24708.7,29,716552.3,-327.7,-0.05,104.4,0.01,-327.7,-0.05,15100.5,15.10
149,Short-Ausstieg,2025-11-18 15:32,S178 SL,24720,29,716552.3,-327.7,-0.05,104.4,0.01,-327.7,-0.05,14772.8,14.77
