Trade #,Typ,Datum und Uhrzeit,Signal,Preis USD,Größe (Menge),Größe (Wert),G&V netto USD,G&V netto %,Positive Exkursion USD,Positive Exkursion %,Negative Exkursion USD,Negative Exkursion %,Kumulativer G&V USD,Kumulativer G&V %
198,Long-Einstieg,2026-02-12 15:46,Long_140,25272,1470,742996800,-367500,-0.05,882000,0.12,-367500,-0.05,5411855,5411.86
199,Long-Ausstieg,2026-02-12 15:48,L140 SL,25259.5,1470,742996800,-367500,-0.05,882000,0.12,-367500,-0.05,5044355,5044.36
199,Long-Einstieg,2026-02-12 15:46,Long_140,25272,1470,742996800,-367500,-0.05,882000,0.12,-367500,-0.05,5044355,5044.36
200,Long-Ausstieg,2026-02-17 15:31,L078 TP1,24664.5,1286,632879180,1491760,0.24,1491760,0.24,-19290,0.00,6536115,6536.12
200,Long-Einstieg,2026-02-17 15:31,Long_078,24606.5,1286,632879180,1491760,0.24,1491760,0.24,-19290,0.00,6536115,6536.12
201,Long-Ausstieg,2026-02-17 15:34,L078 TP2,24720.75,1286,632879180,2938510,0.46,2938510,0.46,-19290,0.00,9474625,9474.63
201,Long-Einstieg,2026-02-17 15:31,Long_078,24606.5,1286,632879180,2938510,0.46,2938510,0.46,-19290,0.00,9474625,9474.63
202,Long-Ausstieg,2026-02-19 15:44,L140 TP1,24852,2393,1185504165,3912555,0.33,3912555,0.33,-346985,-0.03,13387180,13387.18
202,Long-Einstieg,2026-02-19 15:36,Long_140,24770.25,2393,1185504165,3912555,0.33,3912555,0.33,-346985,-0.03,13387180,13387.18
203,Long-Ausstieg,2026-02-19 16:03,L140 TP2,24937,2393,1185504165,7980655,0.67,7980655,0.67,-346985,-0.03,21367836,21367.84
203,Long-Einstieg,2026-02-19 15:36,Long_140,24770.25,2393,1185504165,7980655,0.67,7980655,0.67,-346985,-0.03,21367836,21367.84
204,Long-Ausstieg,2026-02-20 06:01,EOD_CLOSE,24904.75,1,495405,2690,0.54,3785,0.76,-425,-0.09,21370524,21370.52
204,Long-Einstieg,2026-02-19 15:36,Long_140,24770.25,1,495405,2690,0.54,3785,0.76,-425,-0.09,21370524,21370.52
205,Long-Ausstieg,2026-02-24 15:33,L078 SL,24735.5,5367,2656316145,-1207575,-0.05,268350,0.01,-1207575,-0.05,20162950,20162.95
205,Long-Einstieg,2026-02-24 15:33,Long_078,24746.75,5367,2656316145,-1207575,-0.05,268350,0.01,-1207575,-0.05,20162950,20162.95
206,Long-Ausstieg,2026-02-24 15:33,L078 SL,24735.5,5367,2656316145,-1207575,-0.05,268350,0.01,-1207575,-0.05,18955376,18955.38
206,Long-Einstieg,2026-02-24 15:33,Long_078,24746.75,5367,2656316145,-1207575,-0.05,268350,0.01,-1207575,-0.05,18955376,18955.38
207,Long-Ausstieg,2026-02-24 15:40,L140 TP1,24831,1,494935,1685,0.34,1685,0.34,-1045,-0.21,18957060,18957.06
207,Long-Einstieg,2026-02-24 15:33,Long_078,24746.75,1,494935,1685,0.34,1685,0.34,-1045,-0.21,18957060,18957.06
208,Long-Ausstieg,2026-02-24 15:40,L140 TP1,24831,5366,2651340600,13522320,0.51,13522320,0.51,-1126860,-0.04,32479380,32479.38
208,Long-Einstieg,2026-02-24 15:36,Long_140,24705,5366,2651340600,13522320,0.51,13522320,0.51,-1126860,-0.04,32479380,32479.38
209,Long-Ausstieg,2026-02-24 15:48,L140 TP2,24963.25,5367,2651834700,27720556,1.05,27720556,1.05,-1127070,-0.04,60199936,60199.94
209,Long-Einstieg,2026-02-24 15:36,Long_140,24705,5367,2651834700,27720556,1.05,27720556,1.05,-1127070,-0.04,60199936,60199.94
210,Long-Ausstieg,2026-02-25 06:01,EOD_CLOSE,25053.5,2,988200,13940,1.41,16380,1.66,-420,-0.04,60213876,60213.88
210,Long-Einstieg,2026-02-24 15:36,Long_140,24705,2,988200,13940,1.41,16380,1.66,-420,-0.04,60213876,60213.88
211,Short-Ausstieg,2026-02-27 15:43,S178 TP1,24801,15078,7511407260,32417700,0.43,32417700,0.43,-150780,0.00,92631576,92631.58
211,Short-Einstieg,2026-02-27 15:39,Short_178,24908.5,15078,7511407260,32417700,0.43,32417700,0.43,-150780,0.00,92631576,92631.58
212,Short-Ausstieg,2026-02-27 15:46,S178 SL,24910.5,15078,7511407260,-603120,-0.01,38147340,0.51,-603120,-0.01,92028456,92028.46
212,Short-Einstieg,2026-02-27 15:39,Short_178,24908.5,15078,7511407260,-603120,-0.01,38147340,0.51,-603120,-0.01,92028456,92028.46
213,Short-Ausstieg,2026-03-02 00:01,EOD_CLOSE,24707.75,1,498170,4015,0.81,5460,1.10,-2565,-0.51,92032470,92032.47
213,Short-Einstieg,2026-02-27 15:39,Short_178,24908.5,1,498170,4015,0.81,5460,1.10,-2565,-0.51,92032470,92032.47
